Account,Token Account,Quantity,Percentage
9PGoFisoiqZnDikwTUGuDdw2VWvdEUyD1qUXXgdLtzhM,FDxjjtxcHjz6DAKJxCyyCVD83o3wBRfYb6Mc41cLnwdo,657397.803205234,0.07
G96Ac3EwonHunrqZWiMMcgZ4FL5GDoq97gudSSnVnp2z,76VddTjQogx88TFfCuumNtciyfQibui7E1rTYYTUgGhN,646146.865531496,0.07
GLKfg7jnfe5GTj1JooYwc51G4uaGDpB55QGzUMzjnj1R,561dSrbu7Z1nXReEKddBG87bT44LgG4mqMswLW7h82QD,638082.560313878,0.07
5YrW2H8tBVCTZ9bXzgXRMWUAZkcSecG1Z7sDPwwwLFya,Dcqu9Nj1fEsCqRDCGmmVT9fdyzZyoCgEczPepxhCptfW,635441.3030927,0.07
HU8MAiFU79xpHvydPA9iqWYrSBYd9hU6c7RQStPWkUoW,9L4QUnxW1TWPDUCKC5H2S8c5JUqRKubLsV2rb1sYe18h,627945.835658725,0.07
4b2zRzDx11Rc7uDEoRTVoj41y2Z5ZARM689q1rJfYmDn,6QENN34duCnkT6NTa7YMePyqPhcjduQw3d79GtHxwdBh,611487.547360549,0.07
3RPHC5cns5yf6MVKkHgFtWxGaWVgr56HNofzfSMeSiuz,ChzXrBTFuj5hNVwZXjTb8rSPoSUAVdaLb87LJm2bEcqf,610160.926134989,0.07
3ocegXHt5ZD8zyTudq5J2iZWw47XTZQZHTuhyWqAj6bM,krrpaiN52XQSZWshRERnac9qeMZ83R1r2Ai2ecVYzy6,597667.328587089,0.06
EUaGMYfk7KFfCn8XPdRNVPNC4pvg3vyGYXovkyuWitUL,2v14ZdQS1U895RB8kQPhbBYokhaKrW2281NQp5B68Nso,588532.399157503,0.06
7YbdA4WVbpS89iucKVWAWQBSMaj84rvKbUBpKmJXKPxq,Aqnxt9skpDAQYi4kpA5Txf332USn6AqybdEjSFSCsFTv,564090.394170413,0.06
6umAdVdWbDv9CyzgpxMM6NAqR22pve5X2sXTXR9qx8zF,tBN9SDTuivvKUU7PZzVfRPdC6sUv3ZcKFBNu872gcoP,521280.454344883,0.06
